Date, Open, High, Low, Close
3/3/2009,6764.81,6855.29,6705.63,6726.02
3/2/2009,7056.48,7058.95,6755.17,6763.29
2/27/2009,7180.97,7195.46,7033.62,7062.93
2/26/2009,7269.06,7402.31,7173.56,7182.08
2/25/2009,7349.58,7404.94,7156.68,7270.89
2/24/2009,7115.34,7378.97,7114.3,7350.94
2/23/2009,7365.99,7441.02,7105.94,7114.78
2/20/2009,7461.49,7469.29,7249.47,7365.67
2/19/2009,7555.23,7614.97,7447.55,7465.95
2/18/2009,7546.35,7617.76,7479.97,7555.63
2/17/2009,7845.63,7845.63,7551.01,7552.6
2/13/2009,7933,7970.84,7840.45,7850.41
2/12/2009,7931.97,7938.82,7693.98,7932.76
2/11/2009,7887.05,7983.74,7852.16,7939.53
2/10/2009,8269.36,8269.44,7848.74,7888.88
2/9/2009,8281.38,8315.07,8196.24,8270.87
2/6/2009,8056.38,8312.37,8052.24,8280.59
2/5/2009,7954.83,8107.83,7845.31,8063.07
2/4/2009,8070.32,8162.15,7929.26,7956.66
2/3/2009,7936.99,8111.57,7905.52,8078.36
2/2/2009,8000.62,8000.62,7867.37,7936.83
1/30/2009,8149.01,8195.76,7961.92,8000.86
1/29/2009,8373.06,8373.14,8137.94,8149.01
1/28/2009,8175.93,8405.87,8175.93,8375.45
1/27/2009,8117.39,8225.79,8083.14,8174.73
1/26/2009,8078.04,8231.68,8023.16,8116.03
1/23/2009,8108.79,8152.59,7909.03,8077.56
1/22/2009,8224.43,8224.83,7957.14,8122.8
1/21/2009,7949.17,8243.55,7936.19,8228.1
1/20/2009,8279.63,8291.98,7939.93,7949.09
1/16/2009,8215.67,8341.2,8109.34,8281.22
1/15/2009,8196.24,8286.16,7995.13,8212.49
1/14/2009,8446.01,8446.25,8140.72,8200.14
1/13/2009,8474.61,8522.08,8376.88,8448.56
1/12/2009,8599.26,8602.6,8421.08,8473.97
1/9/2009,8738.8,8769.62,8576.96,8599.18
1/8/2009,8769.94,8770.02,8651.19,8742.46
1/7/2009,8996.94,8996.94,8719.92,8769.7
1/6/2009,8954.57,9088.06,8940.95,9015.1
1/5/2009,9027.13,9034.37,8892.36,8952.89
1/2/2009,8772.25,9065.28,8760.78,9034.69
12/31/2008,8666.48,8842.66,8664.89,8776.39
12/30/2008,8537.85,8700.89,8463.7,8668.39
12/29/2008,8528.77,8575.6,8349.24,8483.93
12/26/2008,8504.4,8581.58,8434.94,8515.55
12/24/2008,8428.17,8530.92,8389.7,8468.48
12/23/2008,8586.67,8647.6,8376.8,8419.49
12/22/2008,8598.62,8672.06,8351.79,8519.77
12/19/2008,8649.44,8823.78,8499.06,8579.11
12/18/2008,8857.08,8946.36,8516.02,8604.99
12/17/2008,8816.14,9001.96,8701.13,8824.34
12/16/2008,8614.31,8985.63,8534.03,8924.14
12/15/2008,8659.63,8738.4,8431.04,8564.53
12/12/2008,8329.65,8705.43,8272.22,8629.68
12/11/2008,8652.54,8861.86,8480.18,8565.09
12/10/2008,8787.54,8942.46,8589.86,8761.42
12/9/2008,8817.33,8978.14,8591.69,8691.33
12/8/2008,8829.44,9151.61,8660.03,8934.18
12/5/2008,8290.22,8722.47,8084.25,8635.42
12/4/2008,8467.04,8705.98,8222.84,8376.24
12/3/2008,8242.59,8654.77,8170.19,8591.69
12/2/2008,8258.84,8490.62,8072.47,8419.09
12/1/2008,8603.32,8675.8,8123.04,8149.09
11/28/2008,8679.14,8875.32,8597.74,8829.04
11/26/2008,8310.61,8760.46,8250.8,8726.61
11/25/2008,8571.3,8682.09,8244.43,8479.47
11/24/2008,8196.4,8624.27,8023.32,8443.39
11/21/2008,7632.89,8121.45,7392.27,8046.42
11/20/2008,7898.04,8224.35,7464.51,7552.29
11/19/2008,8412.24,8534.34,7967.33,7997.28
11/18/2008,8265.69,8540.08,8075.81,8424.75
11/17/2008,8401.73,8596.31,8197.12,8273.58
11/14/2008,8671.98,8980.93,8421.08,8497.31
11/13/2008,8321.21,8898.41,7947.74,8835.25
11/12/2008,8511.17,8638.6,8235.66,8282.66
11/11/2008,8864.32,8867.91,8560.71,8693.96
11/10/2008,9114.26,9212.94,8735.61,8870.54
11/7/2008,8795.59,9032.24,8661.22,8943.81
11/6/2008,9069.1,9216.37,8607.14,8695.79
11/5/2008,9512.26,9628.15,9086.06,9139.27
11/4/2008,9521.26,9711.46,9377.42,9625.28
11/3/2008,9338.07,9488.92,9175.03,9319.83
10/31/2008,9186.98,9498.48,9014.78,9325.01
10/30/2008,9237.71,9380.36,8916.81,9180.69
10/29/2008,9047.83,9405.05,8800.61,8990.96
10/28/2008,8401.65,9112.51,8153.79,9065.12
10/27/2008,8259.24,8639.64,8085.37,8175.77
10/24/2008,8186.52,8654.93,8088.63,8378.95
10/23/2008,8584.76,8864.48,8200.06,8691.25
10/22/2008,8821.63,8939.99,8324.07,8519.21
10/21/2008,9167.38,9380.12,8929.16,9033.66
10/20/2008,8990.17,9305.89,8799.49,9265.43
10/17/2008,8751.38,9304.38,8640.83,8852.22
10/16/2008,8622.51,9073.64,8176.17,8979.26
10/15/2008,9145.24,9278.25,8516.5,8577.91
10/14/2008,9861.28,9924.28,9050.06,9310.99
10/13/2008,8871.97,9501.91,8638.6,9387.61
10/10/2008,8225.95,8989.13,7773.71,8451.19
10/9/2008,9381.96,9522.77,8523.27,8579.19
10/8/2008,9178.85,9778.04,9042.97,9258.1
10/7/2008,10030.69,10205.04,9391.67,9447.11
10/6/2008,10035.23,10249.85,9503.1,9955.5
10/3/2008,10549.04,10844.69,10261.75,10325.38
10/2/2008,10750.62,10843.1,10368.08,10482.85
10/1/2008,10772.69,11022.06,10495.99,10831.07
9/30/2008,10591.89,10922.03,10441.91,10850.66
9/29/2008,10980.01,11099.24,10266.76,10365.45
9/26/2008,10880.37,11218.48,10781.37,11143.13
9/25/2008,10926.17,11206.05,10799.77,11022.06
9/24/2008,10839.75,11041.02,10696.38,10825.17
9/23/2008,11038.23,11214.65,10763.77,10854.17
9/22/2008,11280.28,11450.81,10956.43,11015.69
9/19/2008,11628.63,11628.63,11072.78,11388.44
9/18/2008,10783.9,11149.07,10403.75,11019.69
9/17/2008,10886,11068.87,10521.81,10609.66
9/16/2008,10701.83,11193.12,10604.7,11059.02
9/15/2008,11111.54,11352.21,10849.85,10917.51
9/12/2008,11323.96,11532.72,11191.08,11421.99
9/11/2008,11125.95,11461.15,11018.72,11433.71
9/10/2008,11315.98,11453.5,11135.64,11268.92
9/9/2008,11506.58,11623.5,11209.81,11230.73
9/8/2008,11510,11656.64,11264.2,11510.74
9/5/2008,11120.57,11301.73,10998.77,11220.96
9/4/2008,11439.74,11511.55,11130.26,11188.23
9/3/2008,11508.13,11629.69,11328.84,11532.88
9/2/2008,11718.93,11831.29,11444.79,11516.92
8/29/2008,11655.5,11730.49,11508.78,11543.55
8/28/2008,11551.12,11756.46,11493.72,11715.15
8/27/2008,11404.4,11575.14,11349.69,11502.51
8/26/2008,11366.87,11483.62,11284.47,11412.87
8/25/2008,11550.55,11605.27,11336.82,11386.25
8/22/2008,11487.29,11684,11431.68,11628.06
8/21/2008,11325.1,11501.29,11263.63,11430.21
8/20/2008,11382.17,11511.06,11240.18,11417.43
8/19/2008,11400.25,11501.45,11260.53,11348.55
8/18/2008,11682.86,11744.49,11410.18,11479.39
8/15/2008,11644.75,11776.41,11540.05,11659.9
8/14/2008,11438.44,11744.33,11399.84,11615.93
8/13/2008,11575.79,11689.05,11377.37,11532.96
8/12/2008,11731.55,11830.39,11541.43,11642.47
8/11/2008,11706.55,11933.55,11580.19,11782.35
8/8/2008,11410.18,11808.49,11344.23,11734.32
8/7/2008,11545.26,11680.5,11355.63,11431.43
8/6/2008,11566.75,11745.71,11454.64,11656.07
8/5/2008,11390.48,11652.24,11303.6,11615.77
8/4/2008,11300.02,11449.67,11144.59,11284.15
8/1/2008,11449.02,11512.61,11205.41,11326.32
7/31/2008,11449.67,11631.16,11317.69,11378.02
7/30/2008,11468.4,11681.47,11328.68,11583.69
7/29/2008,11172.84,11444.05,11086.13,11397.56
7/28/2008,11312.81,11439.25,11094.76,11131.08
7/25/2008,11398.7,11540.78,11252.47,11370.69
7/24/2008,11619.27,11714.21,11288.79,11349.28
7/23/2008,11606.89,11820.21,11410.02,11632.38
7/22/2008,11399.11,11692.79,11273.32,11602.5
7/21/2008,11523.03,11663.4,11339.02,11467.34
7/18/2008,11491.2,11599.57,11290.5,11496.57
7/17/2008,11308.57,11538.5,11118.46,11446.66
7/16/2008,10924.76,11308.41,10831.61,11239.28
7/15/2008,10938.11,11201.67,10731.96,10962.54
7/14/2008,11226.99,11299.7,10972.63,11055.19
7/11/2008,11083.85,11292.04,10908.64,11100.54
7/10/2008,11164.05,11351.24,11006.01,11229.02
7/9/2008,11395.53,11505.12,11115.61,11147.44
7/8/2008,11233.66,11459.52,11101.19,11384.21
7/7/2008,11301.49,11477.52,11094.44,11231.96
7/3/2008,11297.34,11396.34,11121.71,11288.54
7/2/2008,11404.16,11510.41,11180.58,11215.51
7/1/2008,11233.42,11465.79,11106.65,11382.26
6/30/2008,11352.21,11504.55,11226.34,11350.01
6/27/2008,11457.16,11556.33,11248.48,11346.51
6/26/2008,11694.42,11775.35,11431.92,11453.42
6/25/2008,11815.41,12008.7,11683.75,11811.83
6/24/2008,11797.5,11962.37,11668.53,11807.43
6/23/2008,11881.6,11986.96,11731.06,11842.36
6/20/2008,12030.03,12078.23,11785.04,11842.69
6/19/2008,12026.21,12188.31,11881.03,12063.09
6/18/2008,12079.62,12212.33,11947.07,12029.06
6/17/2008,12307.67,12378.67,12114.41,12160.3
6/16/2008,12228.21,12381.44,12139.79,12269.08
6/13/2008,12210.78,12376.72,12096.23,12307.35
6/12/2008,12155.91,12337.72,12041.43,12141.58
6/11/2008,12242.21,12317.2,12029.46,12083.77
6/10/2008,12207.04,12425.98,12116.58,12289.76
6/9/2008,12263.46,12406.36,12102.5,12280.32
6/6/2008,12507.15,12559.83,12180.5,12209.81
6/5/2008,12424.68,12652.81,12358.07,12604.45
6/4/2008,12391.21,12540.37,12283.74,12390.48
6/3/2008,12543.14,12620.98,12317.61,12402.85
6/2/2008,12597.04,12645.4,12385.76,12503.82
5/30/2008,12669.67,12750.84,12555.6,12638.32
5/29/2008,12558.61,12760.21,12493.47,12646.22
5/28/2008,12579.05,12693.77,12437.38,12594.03
5/27/2008,12475.89,12626.84,12397.56,12548.35
5/23/2008,12573.18,12637.43,12420.2,12479.63
5/22/2008,12595.01,12743.68,12515.78,12625.62
5/21/2008,12846.67,12926.71,12550.39,12601.19
5/20/2008,12958.06,13002.1,12742.29,12828.68
5/19/2008,12976.38,13170.97,12899.19,13028.16
5/16/2008,13006.34,13069.52,12860.6,12986.8
5/15/2008,12877.53,13028.16,12798.39,12992.66
5/14/2008,12880.46,13073.44,12806.21,12898.38
5/13/2008,12879.41,12957.65,12716.16,12832.18
5/12/2008,12768.02,12960.26,12665.11,12876.31
5/9/2008,12750.76,12871.75,12648.09,12745.88
5/8/2008,12856.53,12965.95,12727.56,12866.78
5/7/2008,12994.21,13097.77,12756.14,12814.35
5/6/2008,12902.04,13071.07,12817.53,13020.83
5/5/2008,13005.12,13105.75,12896.5,12969.54
5/2/2008,13103.8,13191.49,12931.35,13058.2
5/1/2008,12811.91,13079.94,12721.94,13010
4/30/2008,12867.84,13052.91,12746.45,12820.13
4/29/2008,12842.93,12970.27,12737.82,12831.94
4/28/2008,12886,13015.62,12791.55,12871.75
4/25/2008,12898.38,12987.29,12703.7,12891.86
4/24/2008,12781.86,12979.88,12651.51,12848.95
4/23/2008,12741.72,12883.8,12627,12763.22
4/22/2008,12775.43,12870.86,12604.53,12720.23
4/21/2008,12825.02,12902.69,12666.08,12825.02
4/18/2008,12837.47,12965.47,12695.31,12849.36
4/17/2008,12577.99,12725.93,12472.71,12620.49
4/16/2008,12472.14,12670.56,12379.57,12619.27
4/15/2008,12382.58,12459.36,12223.97,12362.47
4/14/2008,12324.77,12430.86,12208.42,12302.06
4/11/2008,12441.45,12546.56,12280.89,12325.42
4/10/2008,12542.16,12705.9,12447.96,12581.98
4/9/2008,12596.47,12686.93,12416.53,12527.26
4/8/2008,12522.3,12664.38,12440.55,12576.44
4/7/2008,12695.72,12786.83,12550.22,12612.43
4/4/2008,12618.29,12738.3,12489.4,12609.42
4/3/2008,12546.48,12734.97,12455.04,12626.03
4/2/2008,12684.9,12790.28,12488.22,12605.83
4/1/2008,12434.2,12693.93,12343.66,12654.36
3/31/2008,12187.34,12384.84,12095.18,12262.89
3/28/2008,12337.54,12441.67,12164.22,12216.4
3/27/2008,12459.17,12528.13,12264.76,12302.46
3/26/2008,12441.02,12553.44,12309.62,12422.86
3/25/2008,12547.66,12639.82,12397.62,12532.6
3/24/2008,12401.86,12687.61,12346.17,12548.64
3/20/2008,12150.3,12434.34,12024.68,12361.32
3/19/2008,12411.06,12525.19,12077.27,12099.66
3/18/2008,12171.63,12411.63,12053.09,12392.66
3/17/2008,11734.13,12119.69,11650.44,11972.25
3/14/2008,12200.2,12249.86,11781.43,11951.09
3/13/2008,11962.32,12242.29,11832.88,12145.74
3/12/2008,12199.23,12360.58,12037.79,12110.24
3/11/2008,12011.82,12205.98,11819.36,12156.81
3/10/2008,11917.46,11993.75,11691.47,11740.15
3/7/2008,11946.69,12131.33,11778.66,11893.69
3/6/2008,12223.65,12267.86,12010.03,12040.39
3/5/2008,12235.62,12392.74,12105.36,12254.99
3/4/2008,12155.75,12291.22,11991.06,12213.8
3/3/2008,12232.44,12344.71,12101.29,12258.9
2/29/2008,12452.98,12517.62,12210.3,12266.39
2/28/2008,12603.1,12713.99,12463.32,12582.18
2/27/2008,12602.86,12815.59,12527.64,12694.28
2/26/2008,12508.67,12771.14,12449.08,12684.92
2/25/2008,12383.38,12612.47,12292.03,12570.22
2/22/2008,12313.77,12429.05,12116.92,12381.02
2/21/2008,12454.94,12545.79,12225.36,12284.3
2/20/2008,12247.1,12489.29,12159.42,12427.26
2/19/2008,12479.93,12571.11,12276.81,12337.22
2/15/2008,12367.47,12441.2,12216.68,12348.21
2/14/2008,12558.42,12611.26,12332.03,12376.98
2/13/2008,12463.07,12627.76,12354.22,12552.24
2/12/2008,12296.51,12524.12,12207.9,12373.41
2/11/2008,12142.55,12332.76,12006.79,12240.01
2/8/2008,12203.76,12330.97,12058.01,12182.13
2/7/2008,12155.47,12366.99,12045,12247
2/6/2008,12333.01,12436.33,12142.14,12200.1
2/5/2008,12456.32,12574.92,12234.97,12265.13
2/4/2008,12746.93,12810.34,12557.61,12635.16
2/1/2008,12667.35,12841.88,12510.05,12743.19
1/31/2008,12284.32,12734.74,12197.09,12650.36
1/30/2008,12418.2,12715.96,12311.55,12442.83
1/29/2008,12466.89,12604.92,12262.29,12480.3
1/28/2008,12225.54,12423.81,12061.42,12383.89
1/25/2008,12499.24,12590.69,12103.61,12207.17
1/24/2008,12287.65,12522.82,12114.83,12378.61
1/23/2008,11733.83,12339.1,11530.12,12270.17
1/22/2008,11604.25,12167.42,11508.74,11971.19
1/18/2008,12197.74,12441.85,11953.71,12099.3
1/17/2008,12501.11,12597.85,12089.38,12159.21
1/16/2008,12428.2,12699.05,12294.48,12466.16
1/15/2008,12633.94,12754.65,12425.92,12501.11
1/14/2008,12724.9,12866.1,12596.95,12778.15
1/11/2008,12723.68,12863.34,12495.91,12606.3
1/10/2008,12652.72,12966.74,12555.74,12853.09
1/9/2008,12599.15,12814.97,12431.53,12735.31
1/8/2008,12874.8,12998.11,12511.03,12589.07
1/7/2008,12842.28,12984.95,12640.44,12827.49
1/4/2008,13046.56,13049.65,12740.51,12800.18
1/3/2008,13044.12,13197.43,12968.44,13056.72
1/2/2008,13261.82,13338.23,12969.42,13043.96
12/31/2007,13364.16,13423.91,13197.35,13264.82
12/28/2007,13361.23,13494.3,13272.14,13365.87
12/27/2007,13549.17,13551.53,13325.71,13359.61
12/26/2007,13547.95,13614.53,13440.16,13551.69
12/24/2007,13450.73,13606.97,13432.2,13549.33
12/21/2007,13241.66,13518.2,13281.89,13450.65
12/20/2007,13206.46,13354,13112.98,13245.64
12/19/2007,13231.98,13368.79,13097.77,13207.27
12/18/2007,13168.66,13346.84,13059.32,13232.47
12/17/2007,13339.2,13378.38,13111.92,13167.2
12/14/2007,13515.11,13557.54,13284.66,13339.85
12/13/2007,13473.98,13586.73,13281,13517.96
12/12/2007,13434.8,13778.98,13299.61,13473.9
12/11/2007,13726.87,13850.92,13374.89,13432.77
12/10/2007,13623.55,13807.02,13582.5,13727.03
12/7/2007,13618.27,13744.02,13514.22,13625.58
12/6/2007,13445.85,13652.49,13362.37,13619.89
12/5/2007,13244.01,13513,13274.25,13444.96
12/4/2007,13311.24,13395.21,13139.56,13248.73
12/3/2007,13368.22,13490.24,13207.6,13314.57
11/30/2007,13314.25,13570.31,13225.32,13371.72
11/29/2007,13287.91,13399.03,13150.21,13311.73
11/28/2007,12958.04,13353.51,12986.33,13289.45
11/27/2007,12744.78,13040.38,12711.98,12958.44
11/26/2007,12979.99,13104.44,12707.26,12743.44
11/23/2007,12796.07,13028.84,12803.67,12980.88
11/21/2007,13006.65,13055.59,12725.39,12799.04
11/20/2007,12955.92,13179.23,12800.74,13010.14
11/19/2007,12958.44,13195.48,12871.14,12958.44
11/16/2007,13109.48,13293.44,12987.22,13176.79
11/15/2007,13230.68,13333.59,13007.95,13110.05
11/14/2007,13305.47,13465.2,13159.88,13231.01
11/13/2007,12975.11,13357.57,12982.18,13307.09
11/12/2007,13039.16,13238.73,12910.4,12987.55
11/9/2007,13261.17,13321.81,12920.65,13042.74
11/8/2007,13299.7,13463.66,13001.93,13266.29
11/7/2007,13646.72,13629.08,13269.46,13300.02
11/6/2007,13542.34,13716.55,13460.73,13660.94
11/5/2007,13592.58,13666.15,13393.67,13543.4
11/2/2007,13569.9,13708.58,13381.64,13595.1
11/1/2007,13924.16,13875.87,13522.75,13567.87
10/31/2007,13792.06,13990.65,13711.59,13930.01
10/30/2007,13869.04,13930.91,13719.8,13792.47
10/29/2007,13807.35,13966.18,13748.33,13870.26
10/26/2007,13675.66,13885.95,13622.01,13806.7
10/25/2007,13677.85,13819.78,13471.87,13671.92
10/24/2007,13675.58,13751.5,13423.74,13675.25
10/23/2007,13568.93,13754.91,13494.95,13676.23
10/22/2007,13521.62,13636.8,13337.9,13566.97
10/19/2007,13888.47,13879.77,13478.94,13522.02
10/18/2007,13887.9,13984.39,13746.22,13888.96
10/17/2007,13920.66,14075.84,13738.66,13892.54
10/16/2007,13986.34,14061.37,13810.68,13912.94
10/15/2007,14092.43,14157.38,13877.82,13984.8
10/12/2007,14016.34,14168.51,13949.85,14093.08
10/11/2007,14079.1,14279.96,13917.82,14015.12
10/10/2007,14165.02,14225.66,13963.26,14078.69
10/9/2007,14043.73,14198.83,13980.9,14164.53
10/8/2007,14065.36,14134.05,13947.41,14043.73
10/5/2007,13969.07,14169.49,13965.05,14066.01
10/4/2007,13967.89,14074.54,13894.98,13974.31
10/3/2007,14038.86,14090.48,13883.43,13968.05
10/2/2007,14087.14,14166.16,13951.72,14047.31
10/1/2007,13895.71,14147.3,13869.86,14087.55
9/28/2007,13912.94,13994.64,13802.96,13895.63
9/27/2007,13879.53,13991.63,13811.17,13912.94
9/26/2007,13779.3,13962.61,13741.26,13878.15
9/25/2007,13757.84,13847.1,13629.16,13778.65
9/24/2007,13821.57,13930.74,13702.89,13759.06
9/21/2007,13768.33,13948.95,13740.61,13820.19
9/20/2007,13813.52,13887.81,13741.01,13766.7
9/19/2007,13740.61,13936.68,13689.8,13815.56
9/18/2007,13403.18,13772.15,13379.68,13739.39
9/17/2007,13441.95,13514.71,13306.69,13403.42
9/14/2007,13421.39,13507.55,13273.68,13442.52
9/13/2007,13292.38,13519.91,13296.77,13424.88
9/12/2007,13298.31,13408.62,13195.4,13291.65
9/11/2007,13129.4,13369.77,13124.68,13308.39
9/10/2007,13116.39,13280.67,12992.02,13127.85
9/7/2007,13360.74,13312.05,13059.16,13113.38
9/6/2007,13306.44,13464.79,13217.11,13363.35
9/5/2007,13442.85,13436.02,13203.86,13305.47
9/4/2007,13358.39,13521.86,13248.57,13448.86
8/31/2007,13240.84,13472.35,13252.06,13357.74
8/30/2007,13287.91,13355.46,13126.39,13238.73
8/29/2007,13043.07,13336.93,13020.63,13289.29
8/28/2007,13318.43,13319.61,13024.29,13041.85
8/27/2007,13377.16,13438.46,13248.32,13322.13
8/24/2007,13231.78,13402.2,13174.27,13378.87
8/23/2007,13237.27,13358.22,13127.69,13235.88
8/22/2007,13088.26,13304.33,13075.34,13236.13
8/21/2007,13120.05,13228.57,12975.68,13090.86
8/20/2007,13078.51,13245.8,12938.77,13121.35
8/17/2007,12848.05,13289.7,12847.24,13079.08
8/16/2007,12859.52,12996.73,12455.92,12845.78
8/15/2007,13021.93,13184.51,12800.83,12861.47
8/14/2007,13235.72,13309.04,12974.3,13028.92
8/13/2007,13238.24,13440.08,13163.54,13236.53
8/10/2007,13270.59,13386.43,12958.04,13239.54
8/9/2007,13652.33,13675.66,13196.05,13270.68
8/8/2007,13497.23,13769.63,13386.92,13657.86
8/7/2007,13467.72,13635.09,13282.38,13504.3
8/6/2007,13183.13,13501.86,13077.05,13468.78
8/3/2007,13462.25,13539.5,13156.79,13181.91
8/2/2007,13357.82,13547.47,13272.79,13463.33
8/1/2007,13211.09,13431.06,13041.77,13362.37
7/31/2007,13360.66,13579.41,13182.15,13211.99
7/30/2007,13266.21,13445.12,13143.87,13358.31
7/27/2007,13472.68,13589.17,13228.57,13265.47
7/26/2007,13783.12,13793.61,13307.74,13473.57
7/25/2007,13718.25,13919.77,13607.7,13785.07
7/24/2007,13940.9,13967.65,13661.51,13716.95
7/23/2007,13851.73,14039.59,13819.54,13943.42
7/20/2007,14000.73,14039.67,13745.65,13851.08
7/19/2007,13918.79,14121.04,13860.18,14000.41
7/18/2007,13955.05,14020.89,13768.73,13918.22
